Timestamp,P(UP),P(DOWN),Momentum,Prediction,Actual Outcome,Correct?,Market Ticker,Volume
2026-02-22 15:00:00,0.5350,0.4650,0,UP,DOWN,Incorrect,KXBTC15M-26FEB221815-15,139110
2026-02-22 15:01:00,0.5088,0.4912,-0.0262,UP,DOWN,Incorrect,KXBTC15M-26FEB221815-15,139110
2026-02-22 15:02:00,0.6025,0.3975,0.0938,UP,DOWN,Incorrect,KXBTC15M-26FEB221815-15,139110
2026-02-22 15:03:00,0.4175,0.5825,-0.185,DOWN,DOWN,Correct,KXBTC15M-26FEB221815-15,139110
2026-02-22 15:04:00,0.2870,0.7130,-0.1305,DOWN,DOWN,Correct,KXBTC15M-26FEB221815-15,139110
2026-02-22 15:05:00,0.3000,0.7000,0.013,DOWN,DOWN,Correct,KXBTC15M-26FEB221815-15,139110
2026-02-22 15:06:00,0.4250,0.5750,0.125,DOWN,DOWN,Correct,KXBTC15M-26FEB221815-15,139110
2026-02-22 15:07:00,0.5210,0.4790,0.096,UP,DOWN,Incorrect,KXBTC15M-26FEB221815-15,139110
2026-02-22 15:08:00,0.4117,0.5883,-0.1093,DOWN,DOWN,Correct,KXBTC15M-26FEB221815-15,139110
2026-02-22 15:09:00,0.2050,0.7950,-0.2067,DOWN,DOWN,Correct,KXBTC15M-26FEB221815-15,139110
2026-02-22 15:10:00,0.1775,0.8225,-0.0275,DOWN,DOWN,Correct,KXBTC15M-26FEB221815-15,139110
2026-02-22 15:11:00,0.0830,0.9170,-0.0945,DOWN,DOWN,Correct,KXBTC15M-26FEB221815-15,139110
2026-02-22 15:12:00,0.0550,0.9450,-0.028,DOWN,DOWN,Correct,KXBTC15M-26FEB221815-15,139110
2026-02-22 15:13:00,0.0150,0.9850,-0.04,DOWN,DOWN,Correct,KXBTC15M-26FEB221815-15,139110
2026-02-22 15:14:00,0.0050,0.9950,-0.01,DOWN,DOWN,Correct,KXBTC15M-26FEB221815-15,139110
2026-02-22 15:15:00,0.4500,0.5500,0,DOWN,UP,Incorrect,KXBTC15M-26FEB221830-30,144738
2026-02-22 15:16:00,0.5017,0.4983,0.0517,UP,UP,Correct,KXBTC15M-26FEB221830-30,144738
2026-02-22 15:17:00,0.5350,0.4650,0.0333,UP,UP,Correct,KXBTC15M-26FEB221830-30,144738
2026-02-22 15:18:00,0.5830,0.4170,0.048,UP,UP,Correct,KXBTC15M-26FEB221830-30,144738
2026-02-22 15:19:00,0.6500,0.3500,0.067,UP,UP,Correct,KXBTC15M-26FEB221830-30,144738
2026-02-22 15:20:00,0.6190,0.3810,-0.031,UP,UP,Correct,KXBTC15M-26FEB221830-30,144738
2026-02-22 15:21:00,0.5410,0.4590,-0.078,UP,UP,Correct,KXBTC15M-26FEB221830-30,144738
2026-02-22 15:22:00,0.5100,0.4900,-0.031,UP,UP,Correct,KXBTC15M-26FEB221830-30,144738
2026-02-22 15:23:00,0.5650,0.4350,0.055,UP,UP,Correct,KXBTC15M-26FEB221830-30,144738
2026-02-22 15:24:00,0.4800,0.5200,-0.085,DOWN,UP,Incorrect,KXBTC15M-26FEB221830-30,144738
2026-02-22 15:25:00,0.6830,0.3170,0.203,UP,UP,Correct,KXBTC15M-26FEB221830-30,144738
2026-02-22 15:26:00,0.8925,0.1075,0.2095,UP,UP,Correct,KXBTC15M-26FEB221830-30,144738
2026-02-22 15:27:00,0.9050,0.0950,0.0125,UP,UP,Correct,KXBTC15M-26FEB221830-30,144738
2026-02-22 15:28:00,0.9100,0.0900,0.005,UP,UP,Correct,KXBTC15M-26FEB221830-30,144738
